SELECT date, ordering, pref_label::varchar(20),
       birthyear, extract(year from date) - birthyear AS age
FROM registers
JOIN register_plays ON (register_id = registers.id)
JOIN play_person USING (play_id)
JOIN person ON (person_id = person.id)
ORDER BY date
    date    | ordering |      pref_label      | birthyear | age 
 1680-07-26 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-28 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-30 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-08-02 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-08-02 |        1 | Rotrou (Jean de)     |      1609 |  71
 1680-08-04 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-08-04 |        1 | Rotrou (Jean de)     |      1609 |  71
 1680-08-06 |        1 | Scarron (Paul)       |      1610 |  70
 1680-08-09 |        1 | Jean Racine          |      1639 |  41
 1680-08-09 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-11 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-11 |        1 | Jean Racine          |      1639 |  41
 1680-08-13 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-13 |        1 | Jean Racine          |      1639 |  41
 1680-08-16 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-08-16 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-18 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-18 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-08-20 |        1 | Desmarets de Saint-S |      1595 |  85
 1680-08-20 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-23 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-23 |        1 | Jean Racine          |      1639 |  41
 1680-08-25 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-25 |        1 | Jean Racine          |      1639 |  41
 1680-08-26 |        1 | Jean Racine          |      1639 |  41
 1680-08-26 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-27 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-08-27 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-28 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-08-28 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-29 |        1 | Hauteroche (Noël Leb |           |    
 1680-08-30 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-08-30 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-08-31 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-01 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-09-01 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-09-02 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-03 |        2 | Rosimond (Claude Ros |           |    
 1680-09-03 |        1 | Jean Racine          |      1639 |  41
 1680-09-04 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-04 |        2 | Jean Racine          |      1639 |  41
 1680-09-05 |        2 | Hauteroche (Noël Leb |           |    
 1680-09-05 |        1 | Jean Racine          |      1639 |  41
 1680-09-06 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-07 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-09-07 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-09 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-09 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-10 |        2 | Montfleury           |      1639 |  41
 1680-09-10 |        1 | Jean Racine          |      1639 |  41
 1680-09-11 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-11 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-12 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-09-12 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-13 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-13 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-14 |        2 | Anonyme              |           |    
 1680-09-14 |        1 | Jean Racine          |      1639 |  41
 1680-09-15 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-16 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-16 |        1 | Pradon (Nicolas)     |      1632 |  48
 1680-09-17 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-18 |        2 | Hauteroche (Noël Leb |           |    
 1680-09-18 |        1 | Quinault (Philippe)  |      1635 |  45
 1680-09-19 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-20 |        1 | Boyer (Claude, abbé) |           |    
 1680-09-20 |        2 | Poisson (Raymond)    |      1630 |  50
 1680-09-21 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-21 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-22 |        2 | Poisson (Raymond)    |      1630 |  50
 1680-09-22 |        1 | Boyer (Claude, abbé) |           |    
 1680-09-23 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-09-24 |        2 | Montfleury           |      1639 |  41
 1680-09-24 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-09-25 |        1 | Hauteroche (Noël Leb |           |    
 1680-09-26 |        1 | Rotrou (Jean de)     |      1609 |  71
 1680-09-26 |        2 | Rosimond (Claude Ros |           |    
 1680-09-27 |        2 | Hauteroche (Noël Leb |           |    
 1680-09-27 |        1 | Jean Racine          |      1639 |  41
 1680-09-28 |        1 | Scarron (Paul)       |      1610 |  70
 1680-09-29 |        1 | Jean Racine          |      1639 |  41
 1680-09-29 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-09-30 |        1 | Desmarets de Saint-S |      1595 |  85
 1680-10-01 |        1 | Jean Racine          |      1639 |  41
 1680-10-01 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-02 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-03 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-10-03 |        2 | Hauteroche (Noël Leb |           |    
 1680-10-04 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-05 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-10-05 |        2 | Montfleury           |      1639 |  41
 1680-10-06 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-07 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-07 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-10-08 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-09 |        1 | Tristan L'Hermite    |      1601 |  79
 1680-10-09 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-10-10 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-10-11 |        1 | La Tuillerie (Jean-F |           |    
 1680-10-12 |        1 | Scarron (Paul)       |      1610 |  70
 1680-10-13 |        1 | La Tuillerie (Jean-F |           |    
 1680-10-14 |        1 | Jean Racine          |      1639 |  41
 1680-10-14 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-15 |        1 | La Tuillerie (Jean-F |           |    
 1680-10-16 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-16 |        2 | Anonyme              |           |    
 1680-10-17 |        2 | Anonyme              |           |    
 1680-10-17 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-10-18 |        1 | La Tuillerie (Jean-F |           |    
 1680-10-19 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-20 |        1 | La Tuillerie (Jean-F |           |    
 1680-10-21 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-22 |        1 | La Tuillerie (Jean-F |           |    
 1680-10-23 |        2 | Poisson (Raymond)    |      1630 |  50
 1680-10-23 |        1 | Jean Racine          |      1639 |  41
 1680-10-24 |        1 | arrangée et versifié |           |    
 1680-10-24 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-25 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-25 |        1 | La Tuillerie (Jean-F |           |    
 1680-10-26 |        2 | Poisson (Raymond)    |      1630 |  50
 1680-10-26 |        1 | Jean Racine          |      1639 |  41
 1680-10-27 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-27 |        1 | La Tuillerie (Jean-F |           |    
 1680-10-28 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-28 |        1 | arrangée et versifié |           |    
 1680-10-29 |        2 | Montfleury           |      1639 |  41
 1680-10-29 |        1 | La Tuillerie (Jean-F |           |    
 1680-10-30 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-31 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-10-31 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-11-02 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-11-02 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-11-03 |        1 | La Tuillerie (Jean-F |           |    
 1680-11-03 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-11-04 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-11-04 |        1 | Desmarets de Saint-S |      1595 |  85
 1680-11-05 |        1 | La Tuillerie (Jean-F |           |    
 1680-11-05 |        2 | Rosimond (Claude Ros |           |    
 1680-11-06 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-11-06 |        1 | Donneau de Vizé (Jea |           |    
 1680-11-07 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-11-07 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-11-08 |        1 | Donneau de Vizé (Jea |           |    
 1680-11-08 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-11-09 |        2 | Hauteroche (Noël Leb |           |    
 1680-11-09 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-11-10 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-11-10 |        1 | Donneau de Vizé (Jea |           |    
 1680-11-11 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-11-12 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-11-12 |        1 | Donneau de Vizé (Jea |           |    
 1680-11-13 |        2 | Poisson (Raymond)    |      1630 |  50
 1680-11-13 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-11-14 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-11-15 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-11-16 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-11-17 |        1 | Jean Racine          |      1639 |  41
 1680-11-17 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-11-18 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-11-19 |        2 | Montfleury           |      1639 |  41
 1680-11-19 |        1 | Quinault (Philippe)  |      1635 |  45
 1680-11-20 |        2 | Poisson (Raymond)    |      1630 |  50
 1680-11-20 |        1 | Jean Racine          |      1639 |  41
 1680-11-21 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-11-22 |        1 | Jean Racine          |      1639 |  41
 1680-11-22 |        2 | Montfleury           |      1639 |  41
 1680-11-23 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-11-24 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-11-25 |        2 | Poisson (Raymond)    |      1630 |  50
 1680-11-25 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-11-26 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-11-27 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-11-28 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-11-29 |        1 | Jean Racine          |      1639 |  41
 1680-11-29 |        2 | Jean Racine          |      1639 |  41
 1680-11-30 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-12-01 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-01 |        1 | Jean Racine          |      1639 |  41
 1680-12-02 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-12-03 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-12-03 |        2 | Jean Racine          |      1639 |  41
 1680-12-04 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-05 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-05 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-06 |        1 | Pradon (Nicolas)     |      1632 |  48
 1680-12-06 |        2 | Poisson (Raymond)    |      1630 |  50
 1680-12-07 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-08 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-10 |        1 | Jean Racine          |      1639 |  41
 1680-12-10 |        2 | Poisson (Raymond)    |      1630 |  50
 1680-12-11 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-11 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-12 |        2 | Hauteroche (Noël Leb |           |    
 1680-12-12 |        1 | Boyer (Claude, abbé) |           |    
 1680-12-13 |        1 | Scarron (Paul)       |      1610 |  70
 1680-12-14 |        1 | La Tuillerie (Jean-F |           |    
 1680-12-14 |        2 | Hauteroche (Noël Leb |           |    
 1680-12-15 |        1 | Hauteroche (Noël Leb |           |    
 1680-12-16 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-12-16 |        1 | Donneau de Vizé (Jea |           |    
 1680-12-17 |        2 | La Chapelle (Jean de |      1651 |  29
 1680-12-17 |        1 | Jean Racine          |      1639 |  41
 1680-12-18 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-12-18 |        1 | Donneau de Vizé (Jea |           |    
 1680-12-19 |        1 | Jean Racine          |      1639 |  41
 1680-12-19 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-20 |        1 | Donneau de Vizé (Jea |           |    
 1680-12-20 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-12-21 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-21 |        1 | Tristan L'Hermite    |      1601 |  79
 1680-12-22 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-12-22 |        1 | Donneau de Vizé (Jea |           |    
 1680-12-23 |        1 | Poisson (Raymond)    |      1630 |  50
 1680-12-26 |        1 | arrangée et versifié |           |    
 1680-12-26 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-27 |        1 | Fontenelle (Bernard  |           |    
 1680-12-28 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-28 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-29 |        1 | Fontenelle (Bernard  |           |    
 1680-12-30 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-12-31 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1681-01-01 |        1 | Fontenelle (Bernard  |           |    
 1681-01-01 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-02 |        1 | Corneille (Pierre)   |      1606 |  75
 1681-01-02 |        2 | Hauteroche (Noël Leb |           |    
 1681-01-03 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-03 |        1 | arrangée et versifié |           |    
 1681-01-04 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-04 |        1 | Corneille (Pierre)   |      1606 |  75
 1681-01-05 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-06 |        1 | Jean Racine          |      1639 |  42
 1681-01-06 |        2 | Poisson (Raymond)    |      1630 |  51
 1681-01-07 |        1 | Corneille (Pierre)   |      1606 |  75
 1681-01-08 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-08 |        1 | Jean Racine          |      1639 |  42
 1681-01-09 |        1 | Montfleury           |      1639 |  42
 1681-01-10 |        1 | Rotrou (Jean de)     |      1609 |  72
 1681-01-10 |        2 | Hauteroche (Noël Leb |           |    
 1681-01-11 |        1 | Montfleury           |      1639 |  42
 1681-01-12 |        2 | Hauteroche (Noël Leb |           |    
 1681-01-12 |        1 | Jean Racine          |      1639 |  42
 1681-01-13 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-14 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-14 |        2 | Jean Racine          |      1639 |  42
 1681-01-15 |        1 | Jean Racine          |      1639 |  42
 1681-01-15 |        2 | Hauteroche (Noël Leb |           |    
 1681-01-16 |        1 | Jean Racine          |      1639 |  42
 1681-01-16 |        2 | Montfleury           |      1639 |  42
 1681-01-17 |        1 | Quinault (Philippe)  |      1635 |  46
 1681-01-18 |        1 | Montfleury           |      1639 |  42
 1681-01-19 |        1 | Quinault (Philippe)  |      1635 |  46
 1681-01-20 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-20 |        1 | Jean Racine          |      1639 |  42
 1681-01-21 |        1 | Quinault (Philippe)  |      1635 |  46
 1681-01-22 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-22 |        1 | Corneille (Thomas)   |      1625 |  56
 1681-01-23 |        1 | Quinault (Philippe)  |      1635 |  46
 1681-01-24 |        1 | Corneille (Pierre)   |      1606 |  75
 1681-01-24 |        2 | Anonyme              |           |    
 1681-01-25 |        1 | Quinault (Philippe)  |      1635 |  46
 1681-01-26 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-01-27 |        1 | Quinault (Philippe)  |      1635 |  46
 1681-01-28 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-01-29 |        2 | Fontenelle (Bernard  |           |    
 1681-01-29 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-01-30 |        1 | Jean Racine          |      1639 |  42
 1681-01-30 |        2 | Fontenelle (Bernard  |           |    
 1681-01-31 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-01 |        1 | Corneille (Pierre)   |      1606 |  75
 1681-02-01 |        2 | Fontenelle (Bernard  |           |    
 1681-02-03 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-04 |        1 | Desmarets de Saint-S |      1595 |  86
 1681-02-04 |        2 | Fontenelle (Bernard  |           |    
 1681-02-05 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-06 |        1 | Montfleury           |      1639 |  42
 1681-02-07 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-07 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-08 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-08 |        2 | Fontenelle (Bernard  |           |    
 1681-02-09 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-09 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-10 |        1 | Corneille (Thomas)   |      1625 |  56
 1681-02-10 |        2 | Fontenelle (Bernard  |           |    
 1681-02-11 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-11 |        2 | Hauteroche (Noël Leb |           |    
 1681-02-12 |        1 | Corneille (Thomas)   |      1625 |  56
 1681-02-13 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-13 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-14 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-15 |        1 | arrangée et versifié |           |    
 1681-02-15 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-16 |        2 | Poisson (Raymond)    |      1630 |  51
 1681-02-16 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-17 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-17 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-18 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-18 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-19 |        1 | Quinault (Philippe)  |      1635 |  46
 1681-02-20 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-20 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-21 |        1 | Corneille (Thomas)   |      1625 |  56
 1681-02-22 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-22 |        2 | Montfleury           |      1639 |  42
 1681-02-23 |        1 | Corneille (Thomas)   |      1625 |  56
 1681-02-24 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-24 |        2 | La Chapelle (Jean de |      1651 |  30
 1681-02-25 |        1 | Corneille (Thomas)   |      1625 |  56
 1681-02-26 |        2 | Hauteroche (Noël Leb |           |    
 1681-02-26 |        1 | La Chapelle (Jean de |      1651 |  30
 1681-02-27 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-02-28 |        2 | La Chapelle (Jean de |      1651 |  30
 1681-02-28 |        1 | Corneille (Pierre)   |      1606 |  75
 1681-03-01 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-03-01 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-03-02 |        1 | Corneille (Pierre)   |      1606 |  75
 1681-03-02 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-03-03 |        2 | Jean-Baptiste Poquel |      1622 |  59
 1681-03-03 |        1 | Jean-Baptiste Poquel |      1622 |  59
 1681-03-04 |        2 | Fontenelle (Bernard  |           |    
 1681-03-04 |        1 | Corneille (Pierre)   |      1606 |  75
 1681-03-05 |        1 | Corneille (Thomas)   |      1625 |  56
